channel_id,Date,user_id,user_name,content
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-09,15:58:30",d20492,d20492,don't think i follow least-to-most but seems like a promising method. any one has experience in this?
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-09,16:04:45",satsuroki,satsuroki,A paper that I liked on Coat with LLMs https://arxiv.org/abs/2201.11903
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-09,16:37:10",leebutterman,leebutterman,"Seems like Polya has a great ensemble of techniques to solve problems. Have also seen similar from Brian Eno, for example, with oblique strategies. Has anyone seen the results of self-consistency and CoT with an ensemble of techniques?"
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-09,16:53:01",koppu0729,koppu0729,share the today's slides please
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-09,17:12:38",tarande57,tarande57,Done! On the website syllabus section
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-09,17:29:11",nhihlle,nhihlle,"It was a great lecture today, thanks! I have a small suggestion for future lectures. If the speakers could use the microphone, it'll be easier for MOOC attendants to hear the content. In today's lecture, I could hear Professor Dawn very clearly because she used the mic, but had problems listening to Denny as he didn't use the mic."
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-09,17:41:19",bin026039,bin026039,And it would be helpful if the speaker can repeat the questions asked by the audience
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-09,21:09:07",ultimateduwal,ultimateduwal,https://dennyzhou.github.io/LLMs-Reason-Lecture.pdf
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-10,08:50:01",zealous_eagle_31336,zealous_eagle_31336,"After the first lecture where Denny presented the limitations and technique for improving llms, I wonder what are the kind of problems and tasks that we can try to solve using llm agents and reasoning techniques? What kind of problems we should look for a solution else where?"
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-10,09:36:11",sadhaklal,sadhaklal,Yeah I wonder if it was a microphone malfunction. I feel the subtitles auto-generated by YouTube are of better quality than the default grey subtitles at the bottom of the video.
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-10,12:14:27",tarande57,tarande57,We are getting a better audio recording! I’ll let you know details once it’s up!
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-10,20:53:16",dastas6090,dastas6090,is it the better audio for the last lecture or future lectures?
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-11,01:12:26",saikosis_,saikosis_,"In the video I am able to see just ""THE END"" slide and its 40 min video. Can someone say why that happened?"
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-11,06:38:31",sannyshaikh7438,sannyshaikh7438,Hi All - I came across this HBR article which I thought was a nice complement to Week 1 lecture.  The article hits lot of the points that our guest speaker talked about but more in the context of non-technical business setting.  Here is the article: https://hbr.org/2024/09/embracing-gen-ai-at-work
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-11,12:20:50",tarande57,tarande57,"both. One of our TAs is trying to do some editing on the last lecture recording becuase we had two recording going and the second one might be better so hopefully that works out. And then in the future, we are working on getting a better microphone 👍"
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-11,12:21:52",tarande57,tarande57,"This was the Q&A part of the lecture. It is hard to hear the in-person Berkeley students talk, so we are getting a 2nd / better microphone so you can hear them better. And we are also working on a system for MOOC students to ask the speaker questions!"
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-12,10:54:10",craftalia,craftalia,"Great article! ""Reciprocal Apprenticing "" sounds much better than RAG. 😀"
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-13,14:43:20",hilberthotel,hilberthotel,Where is the first lecture/reading?
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-13,15:14:58",hav0k.,hav0k.,Check the announcements channel
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-15,20:23:49",zashraf1337,zashraf1337,"Hi there, anyone willing to / have access to service / ppl to transcribe lectures ... can be very useful and esp for those where English is not a first language / accent / recording quality issues"
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-15,23:42:20",pipinstallyp,pipinstallyp,ReACT pod by notebooklm if someone wants to listen a brief before todays class 🙂
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-15,23:42:36",pipinstallyp,pipinstallyp,Feel free to roast it as well
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-16,02:51:33",thuan2678,thuan2678,"Hi everyone, could someone provide me the full answer (include explanation) for these two questions since I could not hear it clearly from the video."
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-16,08:32:41",edgardom1940,edgardom1940,<@329563802934968323> do you have information how implemented ReACT? This is some good for a law agent interpretation
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-16,09:20:30",zashraf1337,zashraf1337,Yeah I wonder if it was a microphone
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-16,10:26:24",satsuroki,satsuroki,"<@854134294870884363> if I'm right there are 13 lectures and I saw ""Complete all 12 quizzes ..."" and what's the deadline for each lecture quiz"
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-16,10:33:45",tarande57,tarande57,There are only 12 lectures! (no class for USA Veteran's Day on Nov 11th). We decided to make all of the quizzes due Dec 12th at 11:59PM PST since we are releasing the first two a little late
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-16,10:39:40",satsuroki,satsuroki,one last on the subject is it a one shot quizz ?
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2024-09-16,10:56:35",rulala3610,rulala3610,"I just signed up, I am so excited - should I watch lecture 1 before I start on this weeks lecture? Or is lecture 1 not requisite knowledge. Thank you"
