channel_id,Date,user_id,user_name,content
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2025-03-17,20:33:21",hritabanghosh,hritabanghosh,"Hi <@931117841829232681>, it is quite interesting and yup I agree that they indeed are kind of opposing each other at first glance. There are however subtle differences in the approaches. 

In Lecture-1 we talk about self-reflection and self-correction, wherein the oracle feedback is given to the intermediate output of the LLM, so that the LLM can refine its output to correct for any mistakes. The author makes an analogy to how humans also make trivial mistakes in their CoT. Furthermore, there is no finetuning of the LLM based on this feedback. For example, look at slide 61. This approach is simply an iterative post training approach where feedback is used to correct for mistakes in the LLM's CoT. The author emphasizes, that external oracle feedback far outperforms feedback given by another LLM, which makes sense since neither LLM were finetuned to provide good rewards. 

But in Lecture 2, the author poses the approach as a new training paradigm where the LLM is trained in such a way so that its instruction following and reward modelling capability improves with training, look at slide 52. In this case, the feedback is integrated in the training loop, and thus can be expected to be better. Small difference however is that here, the reward is on the model's CoT plus final answer as a whole and not something which is intermediate and sent as feedback.

Hope this helps."
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2025-03-19,02:08:07",alexkim0889,alexkim0889,"Thank for the response <@1335446795765022794>! Yep, this helps"
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2025-03-31,22:07:15",kaiquanmah,kaiquanmah,"In week 5 Coding Agents, the slide after ""Design Space for Agents"" was talking about an ""LLM agents cookbook"". Just curious, is this referring to LLAMA3's cookbook? https://docs.llamaindex.ai/en/stable/examples/cookbooks/llama3_cookbook/"
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2025-04-14,12:32:43",ppujari,ppujari,<@854134294870884363> Do we have a lecture today? I did not get usual email yet.
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2025-04-14,14:02:12",tarande57,tarande57,yes we do! hopefully you've gotten the email by now. it was sent a little late today 😅
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2025-04-14,17:22:35",ppujari,ppujari,It appears that the last two or three lectures have deviated somewhat from the topic of agentic LLMs. These are purely ttheory.
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2025-04-14,17:54:04",leo_labmer,leo_labmer,"Not really. But, it has become ""Niche LLM Agents""... for Math & CS Theory folks 😅"
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2025-04-14,17:56:53",ppujari,ppujari,"Yes, correct. I am an NLP researcher, mostly working on text and image."
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2025-04-15,09:43:08",tilman_91445,tilman_91445,"well, the course is called ""**Advanced** Large Language Model Agents"", and the description clearly said that ""this course dives deeper into advanced topics in LLM agents, focusing on reasoning, AI for mathematics, code generation, and program verification"" https://llmagents-learning.org/sp25"
73f5af78-018a-4c1a-b00f-01f729f4c64b,"2025-04-15,10:02:18",tilman_91445,tilman_91445,"Btw for folks who haven't encountered Lean before and want to get a hands-on feel for it without spending too much time, check  https://adam.math.hhu.de/ (e.g prove that 2+2 = 4 in the ""Natural Number Game"", it's fun)"
