channel_id,Date,user_id,user_name,content
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-11-07,17:56:26",jasonyan0454,jasonyan0454,"📌 If you have any questions or need support with Gemini or Google AI tools and resources, feel free to ask them on the Build with Google AI forum. It’s a great place to get expert advice. Don’t hesitate to share your questions there! Thank you! 🚀"
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-11-07,17:56:33",jasonyan0454,jasonyan0454,
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-11-11,00:08:33",santhoshm_40155,santhoshm_40155,Kaggle #5dgai-announcements
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-11-15,20:17:29",tdinh2218,tdinh2218,Hi how do we get Google AI resource
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-11-16,02:12:14",jasonyan0454,jasonyan0454,We will provide more information later.
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-11-16,06:02:07",varshadewangan,varshadewangan,Kaggle #5dgai-announcements
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-11-16,06:02:28",varshadewangan,varshadewangan,Kaggle #5dgai-announcements
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-11-19,11:39:26",jasonyan0454,jasonyan0454,"🚀 Upcoming Workshop with Google AI: Building with Gemini for the LLM Agents MOOC Hackathon 🚀

Google AI will be hosting a special workshop for our hackathon, showcasing Gemini and how to leverage it in your projects. They’ll be doing live demos and there’s a Q&A session where you can get direct advice from Google AI specialists.

📅 Date & Time: 11/26 3pm PT
📍 Where: Livestreamed on YouTube - Join us from anywhere!
 🔗 RSVP & More Info: https://lu.ma/agents-hackathon-googleai

Don’t miss this chance to learn from the Google AI team and boost your hackathon project!"
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-11-19,11:39:37",jasonyan0454,jasonyan0454,
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-11-25,00:23:14",thewilsonglobal,thewilsonglobal,RISC Zero #🚨｜announcements
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-11-26,09:11:25",jasonyan0454,jasonyan0454,"@everyone 
Join us for the Hackathon Workshop with Google AI, happening at 3 PM PT today (11/26). Don’t miss out on the opportunity to ask your questions and gain insights directly from Google AI specialists!
🔗 Watch live here: https://www.youtube.com/watch?v=8lu0hCrfUXk
Set your reminders and see you there! ⏰"
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-11-26,15:10:03",tilman_91445,tilman_91445,"Oh no, she showed the outdated lmsys screenshot 😉  https://x.com/emollick/status/1859698745291702341"
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-12-06,21:55:44",andigo0939,andigo0939,Kaggle #5dgai-announcements
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-12-08,03:09:52",guna_12,guna_12,<@879805514580656178>  hello
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-12-08,03:09:56",guna_12,guna_12,I have some questions
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-12-08,03:10:10",guna_12,guna_12,I've dm you
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-12-09,11:21:14",AG2 #announcements,AG2 #announcements,"@everyone 🤯 You're Building WHAT with AG2?!

Every week we discover absolutely mind-blowing things being built with AG2 in production. Someone just told us they built the world’s first open-source software testing agent using AG2. Another team is using it to automate WhatsApp and email replies with AI Agents, enrich leads with deep insights, and personalize outreach at scale.

With 330k+ monthly downloads, we know there are more incredible stories out there. Now we want to hear YOURS.

Running AG2 in production? Share your story in our quick survey, and if selected, you'll join an exclusive group of production users who get:
* Private Discord channel with direct access to AG2's engineering team
* 1:1 technical consultation with our founders
* Early access & input to new features
* Limited edition AG2 merch as a thank you

📝 Join us: https://jc9pie8gn0f.typeform.com/ag2production 

First 50 qualified teams get priority access!

Know someone running AG2 in production? Tag them below! 🤖"
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-12-11,14:43:22",r5h_,r5h_,Perplexity #📢│events
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-12-11,16:28:22",pranay_pasula,pranay_pasula,Thanks for sharing! I have a few papers using Autogen as a SotA baseline! Excited to check out AG2!
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-12-22,05:50:01",tangsong_87843,tangsong_87843,Ollama #announcements
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-12-22,05:51:10",tangsong_87843,tangsong_87843,Ollama #announcements
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-12-25,06:29:35",varshadewangan,varshadewangan,SWOC (Social Winter of Code) #announcements
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-12-25,14:35:54",mohammad_talaei,mohammad_talaei,SPAM
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-12-25,14:41:05",yash_goth_81987,yash_goth_81987,Reported
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2024-12-31,06:41:07",SWOC (Social Winter of Code) #announcements,SWOC (Social Winter of Code) #announcements,@everyone **Update for Project Admins** check your mails next steps and group link is shared
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2025-01-01,04:01:17",SWOC (Social Winter of Code) #announcements,SWOC (Social Winter of Code) #announcements,@everyone Update : Check In forms will be mailed post opening ceremony just fill that our team we start the check in
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2025-01-01,04:58:02",SWOC (Social Winter of Code) #announcements,SWOC (Social Winter of Code) #announcements,"@everyone 

Please check your email for the check-in form. You might have received it from either Devfolio Announcements or socialwinterofcode@gmail.com. Don’t forget to check your spam folder as well!"
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2025-01-02,05:00:42",varshadewangan,varshadewangan,SWOC (Social Winter of Code) #announcements
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2025-01-03,10:50:12",upendrayadav_61949,upendrayadav_61949,Hey
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2025-01-08,10:27:04",Ollama #announcements,Ollama #announcements,"Model page: 
https://ollama.com/library/phi4"
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2025-01-10,00:29:51",SWOC (Social Winter of Code) #announcements,SWOC (Social Winter of Code) #announcements,@everyone Take part in 1st SWOC Giveaway https://discord.com/channels/1118073956960841815/1299258383223754752/1327191660966187008
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2025-01-11,03:02:47",SWOC (Social Winter of Code) #announcements,SWOC (Social Winter of Code) #announcements,"@everyone

Check out another article wrote on top python projects not to be missed in 2025 

https://dev.to/jaysaadana/top-python-open-source-projects-not-to-be-missed-in-2025-3cli"
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2025-01-12,10:47:27",gagan.2492,gagan.2492,Mecha #📣┃announcements
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2025-01-14,21:41:37",rolling.mean,rolling.mean,Yannic Kilcher #events
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2025-01-19,20:58:15",SWOC (Social Winter of Code) #announcements,SWOC (Social Winter of Code) #announcements,"@everyone 🚀 Hack The Flag Registrations Are Now Open!
Join the ultimate feature flagging challenge with a $1,000 Prize Pool!

🔗 Register Now: https://www.hackquest.io/hackathons/HackTheFlag

Showcase your skills, build amazing projects with Flagsmith, and compete for exciting prizes! Don’t miss out—sign up today and bring your A-game!"
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2025-01-25,09:06:28",Yannic Kilcher #events,Yannic Kilcher #events,"@everyone @meetup 
**Paper Discussion 2025#04**

<t:1737831600:F> until <t:1737838800:t>, @Yannic Kilcher will present `DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models` in <#719652499740688404>.
https://discord.gg/eZZ9jjBu?event=1332758016050597889

If you'd like to present a paper, send a direct message to @zickzack  with a link to the paper and availability information.

**Paper:**
https://arxiv.org/abs/2402.03300

**Abstract:**
Mathematical reasoning poses a significant challenge for language models due to its complex and structured nature. In this paper, we introduce DeepSeekMath 7B, which continues pre-training DeepSeek-Coder-Base-v1.5 7B with 120B math-related tokens sourced from Common Crawl, together with natural language and code data. DeepSeekMath 7B has achieved an impressive score of 51.7% on the competition-level MATH benchmark without relying on external toolkits and voting techniques, approaching the performance level of Gemini-Ultra and GPT-4. Self-consistency over 64 samples from DeepSeekMath 7B achieves 60.9% on MATH. The mathematical reasoning capability of DeepSeekMath is attributed to two key factors: First, we harness the significant potential of publicly available web data through a meticulously engineered data selection pipeline. Second, we introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), that enhances mathematical reasoning abilities while concurrently optimizing the memory usage of PPO."
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2025-01-27,05:32:30",SWOC (Social Winter of Code) #announcements,SWOC (Social Winter of Code) #announcements,"**Join HackTheFlag, organized by SWOC, and showcase your skills in feature flag innovation with Flagsmith!** @everyone
💰 Prize Pool: $1,000 🗓 Date: 10th March - 24th March 2025 (Virtual Hackathon)
Build innovative solutions, compete globally, and win exciting prizes!
👉 Register Now: https://www.hackquest.io/hackathons/HackTheFlag
Don’t miss out—participate as an individual or a team! 🚀"
d518e59b-69b2-4c57-9e61-22e6cd3af8db,"2025-01-28,04:42:44",shafi_5110,shafi_5110,aiXplain #announcements
